,Lat,Long_,Deaths,Case_Fatality_Ratio,Temperature
0,33.93911,67.709953,,3.779216715,-12.18
1,41.1533,20.1683,,1.077233702,9.83
2,28.0339,1.6596,,2.536905131,20.47
3,42.5063,1.5218,165.0,0.3455425017,8.23
4,-11.2027,17.8739,,1.836433703,19.03
5,-71.9499,23.347,0.0,0.0,-13.92
6,17.0608,-61.7964,146.0,1.603338458,27.62
7,-38.4161,-63.6167,,1.306452816,32.03
8,40.0691,45.0382,,1.954365257,-14.44
9,-35.4735,149.0124,138.0,0.06136005905,18.47
10,-33.8688,151.2093,,0.1517344365,21.86
11,-12.4634,130.8456,84.0,0.08155181453,27.96
12,-27.4698,153.0251,,0.1379317464,20.49
13,-34.9285,138.6007,,0.1339840356,18.6
14,-42.8821,147.3272,,0.07992749434,15.18
15,-37.8136,144.9631,,0.2274631995,17.82
16,-31.9505,115.8605,,0.06666162258,21.55
17,47.5162,14.5501,,0.3755247962,1.77
18,40.1431,47.5769,,1.210895153,8.06
19,25.025885,-78.035889,,2.221866581,22.76
20,26.0275,50.55,,0.2201867939,18.34
21,23.685,90.3563,,1.445115079,18.05
22,13.1939,-59.5432,,0.5383120883,27.25
23,53.7098,27.9534,,0.716069925,6.04
24,51.2195,4.4024,0.0,0.0,9.73
25,50.8503,4.3517,0.0,0.0,9.4
26,51.0362,3.7373,0.0,0.0,9.51
27,50.9167,4.5833,0.0,0.0,9.52
28,50.5257,4.0621,0.0,0.0,9.14
29,50.4496,5.8492,0.0,0.0,5.2
30,50.9739,5.342,0.0,0.0,9.78
31,50.0547,5.4677,0.0,0.0,4.94
32,50.331,4.8221,0.0,0.0,7.13
34,50.4,4.35,0.0,0.0,8.52
35,51.0536,3.1458,0.0,0.0,8.74
36,17.1899,-88.4976,,0.9804200986,26.8
37,9.3077,2.3158,163.0,0.5825173326,30.34
38,27.5142,90.4336,21.0,0.03358334266,0.58
39,-16.2902,-63.5887,,1.911955614,35.58
40,43.9159,17.6791,,4.046796224,0.26
41,-22.3285,24.6849,,0.8766395079,27.25
42,-9.0238,-70.812,,1.281495581,26.68
43,-9.5713,-36.782,,2.147980606,30.68
44,0.902,-52.003,,1.185920074,27.83
45,-3.4168,-65.8561,,2.307380899,26.13
46,-12.5797,-41.7007,,1.764454247,29.86
47,-5.4984,-39.3206,,1.948989363,30.51
48,-15.7998,-47.8645,,1.330521981,26.02
49,-19.1834,-40.3089,,1.139888485,32.27
50,-15.827,-49.8362,,1.518395536,27.7
51,-4.9609,-45.2744,,2.257149344,27.33
52,-12.6819,-56.9211,,1.738421132,30.11
53,-20.7722,-54.7852,,1.831662749,33.84
54,-18.5122,-44.555,,1.575934627,27.96
55,-1.9981,-54.9306,,2.201247277,31.98
56,-7.24,-36.782,,1.502104601,27.7
57,-25.2521,-52.0215,,1.595841327,28.73
58,-8.8137,-36.9541,,2.007035244,29.0
59,-7.7183,-42.7289,,1.936156936,27.96
60,-5.4026,-36.9541,,1.490814477,30.66
61,-30.0346,-51.2177,,1.428141344,30.99
62,-22.9068,-43.1729,,2.828309555,27.07
63,-11.5057,-63.5806,,1.564672716,33.54
64,-2.7376,-62.0751,,1.202214722,32.45
65,-27.2423,-50.2189,,1.153523126,25.84
66,-23.5505,-46.6333,,2.806366526,24.87
67,-10.5741,-37.3857,,1.810760212,29.37
68,-10.1753,-48.2982,,1.166755771,26.54
69,4.5353,114.7277,,0.0843268283,22.68
70,42.7339,25.4858,,2.948379381,1.19
71,12.2383,-1.5616,,1.79496501,31.06
72,21.9162,95.956,,3.075607231,19.41
73,-3.3731,29.9189,38.0,0.0730053217,15.69
74,16.5388,-23.0418,,0.6518265382,23.35
75,11.55,104.9167,,2.204763038,25.0
76,3.848,11.5021,,1.584766882,23.46
77,53.9333,-116.5765,,0.8596978285,1.19
78,53.7267,-127.6476,,1.226342636,-1.28
81,53.7609,-98.8139,,1.518497528,-12.35
82,46.5653,-66.4619,,0.7480180467,-2.76
83,53.1355,-57.6604,,0.5341840709,-9.0
84,64.8255,-124.8457,22.0,0.1911215359,-9.84
85,44.682,-63.7443,,0.5011785876,-1.37
86,70.2998,-83.1076,7.0,0.1982441235,-39.15
87,51.2538,-85.3232,,0.9999543077,-18.59
88,46.5107,-63.4168,82.0,0.1472727599,-4.75
89,52.9399,-73.5491,,1.375009322,-7.22
91,52.9399,-106.4509,,1.179923414,-1.16
92,64.2823,-135.0,32.0,0.6414111044,-11.15
93,6.6111,20.9394,113.0,0.7361083968,25.48
94,15.4542,18.7322,194.0,2.535616259,21.48
95,-23.6509,-70.3975,,1.073822507,22.46
96,-38.9489,-72.3311,,0.9951012547,19.93
97,-18.594,-69.4785,,1.125041409,14.53
98,-27.5661,-70.0503,,0.623741379,25.97
99,-45.9864,-73.7669,,0.6020658563,7.63
100,-37.4464,-72.1416,,0.9531252518,24.22
101,-29.959,-71.3389,,0.9348584742,18.4
102,-41.9198,-72.1416,,1.058633972,12.57
103,-40.231,-72.3311,,0.9578517448,18.03
104,-52.368,-70.9863,,1.153759483,11.88
105,-35.5183,-71.6885,,0.9694734104,33.36
106,-33.4376,-70.6505,,1.595105824,30.37
107,-36.7226,-71.7622,,0.8403141874,24.97
108,-34.5755,-71.0022,,1.296169964,30.4
109,-19.9232,-69.5132,,1.039217446,30.4
111,-33.0472,-71.6127,,1.331342332,31.02
112,31.8257,117.2264,7.0,0.3529411765,-2.12
113,40.1824,116.4142,20.0,0.0693000693,-8.99
114,30.0572,107.874,9.0,0.068755525,8.8
115,26.0789,117.9874,2.0,0.0130701869,1.41
116,35.7518,104.2861,2.0,0.1279590531,-10.87
117,23.3417,113.4244,9.0,0.0125511853,10.92
118,23.8298,108.7881,2.0,0.0814000814,10.26
119,26.8154,106.8748,2.0,0.1114827202,0.43
120,19.1959,109.7453,6.0,0.05749329245,10.25
121,37.8957,114.9042,7.0,0.2378525314,-9.41
122,47.862,127.7615,15.0,0.2366648462,-14.78
123,33.882,113.614,23.0,0.2530531412,-0.29
124,22.3,114.2,,0.4471408855,13.71
